Rank,Release Group,Worldwide,Domestic,%,Foreign,%
1,Dune: Part Two,"$710,513,728","$282,013,728",39.7%,"$428,500,000",60.3%
2,Godzilla x Kong: The New Empire,"$558,697,319","$192,097,319",34.4%,"$366,600,000",65.6%
3,Kung Fu Panda 4,"$529,302,730","$191,175,730",36.1%,"$338,127,000",63.9%
4,Ghostbusters: Frozen Empire,"$198,509,142","$111,509,142",56.2%,"$87,000,000",43.8%
5,Bob Marley: One Love,"$177,193,170","$96,893,170",54.7%,"$80,300,000",45.3%
6,The Beekeeper,"$152,720,535","$66,220,535",43.4%,"$86,500,000",56.6%
7,Kingdom of the Planet of the Apes,"$135,533,919","$62,856,384",46.4%,"$72,677,535",53.6%
8,Civil War,"$108,078,757","$65,214,841",60.3%,"$42,863,916",39.7%
9,The Fall Guy,"$104,763,810","$50,755,810",48.4%,"$54,008,000",51.6%
10,Mean Girls,"$104,404,248","$72,404,248",69.3%,"$32,000,000",30.7%
11,Madame Web,"$100,298,817","$43,817,106",43.7%,"$56,481,711",56.3%
12,Exhuma,"$97,156,259","$2,287,095",2.4%,"$94,869,164",97.6%
13,Argylle,"$96,173,090","$45,207,275",47%,"$50,965,815",53%
14,Challengers,"$69,224,892","$38,424,892",55.5%,"$30,800,000",44.5%
15,Haikyuu!! The Dumpster Battle,"$64,186,637",-,-,"$64,186,637",100%
16,The Roundup: Punishment,"$58,307,922","$700,266",1.2%,"$57,607,656",98.8%
17,Detective Conan: The Million-Dollar Pentagram,"$54,704,723",-,-,"$54,704,723",100%
18,Night Swim,"$54,075,969","$32,494,740",60.1%,"$21,581,229",39.9%
19,The First Omen,"$53,222,970","$19,902,182",37.4%,"$33,320,788",62.6%
20,Demon Slayer: Kimetsu No Yaiba - To the Hashira Training,"$44,354,771","$17,657,658",39.8%,"$26,697,113",60.2%
21,Imaginary,"$39,123,048","$28,009,161",71.6%,"$11,113,887",28.4%
22,Abigail,"$37,652,260","$24,902,260",66.1%,"$12,750,000",33.9%
23,The Garfield Movie,"$36,000,000",-,-,"$36,000,000",100%
24,Back to Black,"$34,169,455",-,-,"$34,169,455",100%
25,Arthur the King,"$33,945,081","$25,049,006",73.8%,"$8,896,075",26.2%
26,Monkey Man,"$33,773,653","$25,058,365",74.2%,"$8,715,288",25.8%
27,Mobile Suit Gundam Seed Freedom,"$30,149,103",-,-,"$30,149,103",100%
28,A Strange House,"$27,371,919",-,-,"$27,371,919",100%
29,The Master and Margarita,"$26,782,766",-,-,"$26,782,766",100%
30,Chantal in Fairyland,"$25,548,222",-,-,"$25,548,222",100%
31,Doraemon the Movie: Nobita's Earth Symphony,"$25,139,030",-,-,"$25,139,030",100%
32,Wicked Little Letters,"$24,948,045","$4,606,802",18.5%,"$20,341,243",81.5%
33,Immaculate,"$23,238,619","$15,671,307",67.4%,"$7,567,312",32.6%
34,Mai,"$21,714,524",-,-,"$21,714,524",100%
35,Autumn and the Black Jaguar,"$21,447,309",-,-,"$21,447,309",100%
36,The Ministry of Ungentlemanly Warfare,"$21,240,384","$19,851,350",93.5%,"$1,389,034",6.5%
37,Lyod 3,"$20,615,744",-,-,"$20,615,744",100%
38,Tarot,"$20,528,868","$12,328,868",60.1%,"$8,200,000",39.9%
39,Cabrini,"$20,297,865","$19,495,146",96%,"$802,719",4%
40,Ordinary Angels,"$19,562,252","$19,174,421",98%,"$387,831",2%
41,Golden Kamuy,"$19,077,748",-,-,"$19,077,748",100%
42,Star Wars: Episode I - The Phantom Menace 2024 Re-release,"$18,577,732","$12,177,732",65.6%,"$6,400,000",34.4%
43,Cocorico,"$17,568,617",-,-,"$17,568,617",100%
44,Unsung Hero,"$17,284,434","$17,284,434",100%,-,-
45,Kleks Academy,"$15,348,026",-,-,"$15,348,026",100%
46,A Little Something Extra,"$15,041,964",-,-,"$15,041,964",100%
47,The Chosen: S4 Episodes 1-3,"$14,799,620","$14,409,169",97.4%,"$390,451",2.6%
48,Face Off 7: One Wish,"$14,552,285",-,-,"$14,552,285",100%
49,Article 370,"$13,222,021","$1,088,790",8.2%,"$12,133,231",91.8%
50,Citizen of a Kind,"$12,494,455",-,-,"$12,494,455",100%
51,Letuchiy korabl,"$11,960,255",-,-,"$11,960,255",100%
52,Maison de retraite 2,"$11,196,943",-,-,"$11,196,943",100%
53,Late Night with the Devil,"$11,178,077","$9,950,234",89%,"$1,227,843",11%
54,Eine Million Minuten,"$11,077,140",-,-,"$11,077,140",100%
55,Alienoid: The Return to the Future,"$10,693,858","$60,720",0.6%,"$10,633,138",99.4%
56,Cat and Dog,"$10,651,801",-,-,"$10,651,801",100%
57,Love Lies Bleeding,"$10,161,095","$8,335,797",82%,"$1,825,298",18%
58,Guest from the Future,"$10,077,759",-,-,"$10,077,759",100%
59,Lisa Frankenstein,"$9,927,714","$9,774,285",98.5%,"$153,429",1.5%
60,The Chosen: S4 Episodes 4-6,"$9,482,744","$9,482,744",100%,-,-
61,Onegin,"$8,775,568",-,-,"$8,775,568",100%
62,Lohusa,"$8,756,572",-,-,"$8,756,572",100%
63,The Birth of Korea,"$8,022,137",-,-,"$8,022,137",100%
64,The Chosen: S4 Episodes 7-8,"$7,766,439","$7,729,152",99.5%,"$37,287",0.5%
65,Kolpaçino 4 4'lük,"$7,452,022",-,-,"$7,452,022",100%
66,Un mondo a parte,"$7,420,495",-,-,"$7,420,495",100%
67,Ducobu passe au vert!,"$7,357,476",-,-,"$7,357,476",100%
68,Yolo,"$7,222,632","$2,001,584",27.7%,"$5,221,048",72.3%
69,Drive-Away Dolls,"$6,826,057","$5,028,215",73.7%,"$1,797,842",26.3%
70,SUGA: Agust D Tour 'D-DAY' the Movie,"$6,791,851","$1,951,896",28.7%,"$4,839,955",71.3%
