Rank,Release Group,Worldwide,Domestic,%,Foreign,%
1,Dune: Part Two,"$710,474,524","$281,974,524",39.7%,"$428,500,000",60.3%
2,Godzilla x Kong: The New Empire,"$558,508,060","$191,908,060",34.4%,"$366,600,000",65.6%
3,Kung Fu Panda 4,"$529,128,940","$191,001,940",36.1%,"$338,127,000",63.9%
4,Ghostbusters: Frozen Empire,"$198,450,574","$111,450,574",56.2%,"$87,000,000",43.8%
5,Bob Marley: One Love,"$177,193,170","$96,893,170",54.7%,"$80,300,000",45.3%
6,The Beekeeper,"$152,720,535","$66,220,535",43.4%,"$86,500,000",56.6%
7,Kingdom of the Planet of the Apes,"$131,078,323","$58,400,788",44.6%,"$72,677,535",55.4%
8,Civil War,"$107,721,567","$65,214,841",60.5%,"$42,506,726",39.5%
9,Mean Girls,"$104,404,248","$72,404,248",69.3%,"$32,000,000",30.7%
10,The Fall Guy,"$103,704,520","$49,696,520",47.9%,"$54,008,000",52.1%
11,Madame Web,"$100,298,817","$43,817,106",43.7%,"$56,481,711",56.3%
12,Exhuma,"$97,167,855","$2,287,095",2.4%,"$94,880,760",97.6%
13,Argylle,"$96,173,090","$45,207,275",47%,"$50,965,815",53%
14,Challengers,"$68,566,203","$37,766,203",55.1%,"$30,800,000",44.9%
15,Haikyuu!! The Dumpster Battle,"$64,186,637",-,-,"$64,186,637",100%
16,The Roundup: Punishment,"$57,938,007","$700,266",1.2%,"$57,237,741",98.8%
17,Detective Conan: The Million-Dollar Pentagram,"$54,704,723",-,-,"$54,704,723",100%
18,Night Swim,"$54,075,969","$32,494,740",60.1%,"$21,581,229",39.9%
19,The First Omen,"$53,216,313","$19,895,525",37.4%,"$33,320,788",62.6%
20,Demon Slayer: Kimetsu No Yaiba - To the Hashira Training,"$44,354,771","$17,657,658",39.8%,"$26,697,113",60.2%
21,Imaginary,"$39,123,048","$28,009,161",71.6%,"$11,113,887",28.4%
22,Abigail,"$37,543,330","$24,793,330",66%,"$12,750,000",34%
23,The Garfield Movie,"$36,000,000",-,-,"$36,000,000",100%
24,Arthur the King,"$33,934,759","$25,049,006",73.8%,"$8,885,753",26.2%
25,Monkey Man,"$33,754,005","$25,041,215",74.2%,"$8,712,790",25.8%
26,Back to Black,"$32,609,173",-,-,"$32,609,173",100%
27,Mobile Suit Gundam Seed Freedom,"$30,149,103",-,-,"$30,149,103",100%
28,A Strange House,"$27,371,919",-,-,"$27,371,919",100%
29,The Master and Margarita,"$26,782,766",-,-,"$26,782,766",100%
30,Chantal in Fairyland,"$25,548,222",-,-,"$25,548,222",100%
31,Doraemon the Movie: Nobita's Earth Symphony,"$25,139,030",-,-,"$25,139,030",100%
32,Wicked Little Letters,"$24,933,658","$4,606,802",18.5%,"$20,326,856",81.5%
33,Immaculate,"$23,217,413","$15,671,307",67.5%,"$7,546,106",32.5%
34,Mai,"$21,714,524",-,-,"$21,714,524",100%
35,Autumn and the Black Jaguar,"$21,443,052",-,-,"$21,443,052",100%
36,The Ministry of Ungentlemanly Warfare,"$21,162,571","$19,779,807",93.5%,"$1,382,764",6.5%
37,Lyod 3,"$20,615,744",-,-,"$20,615,744",100%
38,Cabrini,"$20,296,973","$19,494,254",96%,"$802,719",4%
39,Tarot,"$20,165,748","$11,965,748",59.3%,"$8,200,000",40.7%
40,Ordinary Angels,"$19,562,252","$19,174,421",98%,"$387,831",2%
41,Golden Kamuy,"$19,077,748",-,-,"$19,077,748",100%
42,Star Wars: Episode I - The Phantom Menace 2024 Re-release,"$18,411,828","$12,011,828",65.2%,"$6,400,000",34.8%
43,Cocorico,"$17,551,585",-,-,"$17,551,585",100%
44,Unsung Hero,"$17,085,280","$17,085,280",100%,-,-
45,Kleks Academy,"$15,348,026",-,-,"$15,348,026",100%
46,The Chosen: S4 Episodes 1-3,"$14,799,620","$14,409,169",97.4%,"$390,451",2.6%
47,Article 370,"$13,222,021","$1,088,790",8.2%,"$12,133,231",91.8%
48,Citizen of a Kind,"$12,494,455",-,-,"$12,494,455",100%
49,Letuchiy korabl,"$11,960,255",-,-,"$11,960,255",100%
50,Maison de retraite 2,"$11,196,943",-,-,"$11,196,943",100%
