Sl No,Product Name,Price,Rating
1,"realme P1 5G (Phoenix Red, 128 GB)","15,999",4.4
2,"realme P1 5G (Peacock Green, 128 GB)","15,999",4.4
3,"realme C51 (Mint Green, 64 GB)","7,999",4.3
4,"realme C53 (Champion Gold, 128 GB)","9,999",4.4
5,"realme C65 5G (Feather Green, 128 GB)","12,499",4.4
6,"realme C53 (Champion Black, 128 GB)","9,999",4.4
7,"POCO C65 (Pastel Blue, 128 GB)","6,799",4.2
8,"POCO C61 (Ethereal Blue, 128 GB)","6,999",4.3
9,"POCO M6 Pro 5G (Forest Green, 128 GB)","9,999",4.3
10,"POCO M6 Pro 5G (Power Black, 128 GB)","9,499",4.3
11,"POCO C61 (Diamond Dust Black, 128 GB)","6,999",4.3
12,"POCO M6 Pro 5G (Forest Green, 128 GB)","9,499",4.3
13,"SAMSUNG Galaxy F15 5G (Jazzy Green, 128 GB)","12,999",4.2
14,"SAMSUNG Galaxy F34 5G (Orchid Violet, 128 GB)","12,999",4.2
15,"SAMSUNG Galaxy F14 5G (OMG Black, 128 GB)","11,990",4.2
16,"SAMSUNG Galaxy F04 (Jade Purple, 64 GB)","7,999",4.2
17,"SAMSUNG Galaxy F54 5G (Meteor Blue, 256 GB)","22,999",4.2
18,"SAMSUNG Galaxy F15 5G (Ash Black, 128 GB)","14,499",4.2
19,"vivo T2x 5G (Marine Blue, 128 GB)","12,999",4.4
20,"vivo T3x 5G (Celestial Green, 128 GB)","14,999",4.5
21,"vivo T3x 5G (Crimson Bliss, 128 GB)","14,999",4.5
22,"vivo T2x 5G (Aurora Gold, 128 GB)","12,999",4.4
23,"vivo T2x 5G (Aurora Gold, 128 GB)","11,999",4.4
24,"vivo T3 5G (Crystal Flake, 128 GB)","19,999",4.4
25,"Apple iPhone 14 (Purple, 128 GB)","58,999",4.6
26,"Apple iPhone 15 (Black, 128 GB)","71,999",4.6
27,"Apple iPhone 14 Plus (Starlight, 128 GB)","61,999",4.6
28,"Apple iPhone 13 (Starlight, 128 GB)","53,999",4.6
29,"Apple iPhone 15 (Blue, 128 GB)","71,999",4.6
30,"Apple iPhone 14 (Blue, 128 GB)","58,999",4.6
31,"MOTOROLA G04 (Satin Blue, 64 GB)","6,999",4.2
32,"Motorola Edge 40 Neo (Peach Fuzz, 128 GB)","20,999",4.3
33,"MOTOROLA G04 (Satin Blue, 128 GB)","7,999",4.1
34,"MOTOROLA g24 Power (Ink blue, 128 GB)","7,999",4.2
35,"MOTOROLA g24 Power (Glacier Blue, 128 GB)","7,999",4.2
36,"Motorola G34 5G (Ice Blue, 128 GB)","11,999",4.2
37,"REDMI 13C 5G (Startrail Silver, 128 GB)","11,999",4.2
38,"REDMI 13C (Starfrost White, 128 GB)","7,699",4.3
39,"REDMI 12 (Pastel Blue, 128 GB)","9,499",4.3
40,"REDMI A2 (Sea Green, 64 GB)","5,999",4.1
41,"REDMI Note 13 5G (Arctic White, 128 GB)","16,999",4.2
42,"REDMI 13C 5G (Startrail Silver, 128 GB)","10,499",4.2
43,"Infinix SMART 8 HD (Timber Black, 64 GB)","6,499",4.3
44,"Infinix SMART 8 HD (Crystal Green, 64 GB)","6,499",4.3
45,"Infinix HOT 40i (Palm Blue, 256 GB)","8,999",4.1
46,"Infinix SMART 8 HD (Galaxy White, 64 GB)","6,499",4.3
47,"Infinix SMART 8 (Rainbow Blue, 128 GB)","7,999",4.3
48,"Infinix Note 40 Pro 5G (Vintage Green, 256 GB)","21,999",3.8
49,"Google Pixel 7a (Charcoal, 128 GB)","37,999",4.1
50,"Google Pixel 7 Pro (Hazel, 128 GB)","67,999",4.3
51,"Google Pixel 7 (Snow, 128 GB)","46,999",4.3
52,"Google Pixel 8 (Rose, 128 GB)","69,999",4.3
53,"Google Pixel 8 Pro (Obsidian, 128 GB)","1,01,999",4.4
54,"Google Pixel 7a (Snow, 128 GB)","37,999",4.1
55,"OPPO A58 (Glowing Black, 128 GB)","12,999",4.3
56,"OPPO A17 (Lake Blue, 64 GB)","9,999",4.3
57,"OPPO Reno11 5G (Wave Green, 128 GB)","27,999",4.3
58,"OPPO A59 5G (Silk Gold, 128 GB)","15,499",4.3
59,"OPPO A59 5G (Starry Black, 128 GB)","13,999",4.3
60,"OPPO Reno11 5G (Wave Green, 256 GB)","29,999",4.3
